;código;cadeira;tipo;créditos
0;22000196;INTRODUÇÃO À CIÊNCIA DA COMPUTAÇÃO ;OBRIGATÓRIA;4
1;22000207;LABORATÓRIO DE COMPUTAÇÃO ;OBRIGATÓRIA;2
2;22000224;LÓGICA PARA COMPUTAÇÃO ;OBRIGATÓRIA;4
3;22000293;SISTEMAS DISCRETOS ;OBRIGATÓRIA;4
4;22000294;ALGORITMOS E PROGRAMAÇÃO ;OBRIGATÓRIA;4
5;11100058;CÁLCULO 1 ;OBRIGATÓRIA;4
6;22000199;METODOLOGIA CIENTÍFICA PARA COMPUTAÇÃO ;OBRIGATÓRIA;4
7;22000211;TÉCNICAS DIGITAIS ;OBRIGATÓRIA;4
8;22000295;ANÁLISE COMBINATÓRIA E TEORIA DOS GRAFOS ;OBRIGATÓRIA;4
9;22000296;PROGRAMAÇÃO DE COMPUTADORES ;OBRIGATÓRIA;4
10;06560017;SOCIOLOGIA ;OBRIGATÓRIA;2
11;11100059;CÁLCULO 2 ;OBRIGATÓRIA;4
12;22000181;ARQUITETURA E ORGANIZAÇÃO DE COMPUTADORES I ;OBRIGATÓRIA;4
13;22000197;LINGUAGENS FORMAIS ;OBRIGATÓRIA;4
14;22000201;PROGRAMAÇÃO ORIENTADA A OBJETOS ;OBRIGATÓRIA;4
15;22000297;ALGORITMOS E ESTRUTURAS DE DADOS I ;OBRIGATÓRIA;4
16;06730016;EPISTEMOLOGIA ;OBRIGATÓRIA;2
17;11100005;ÁLGEBRA LINEAR E GEOMETRIA ANALÍTICA ;OBRIGATÓRIA;6
18;22000182;ARQUITETURA E ORGANIZAÇÃO DE COMPUTADORES II ;OBRIGATÓRIA;4
19;22000205;TEORIA DA COMPUTAÇÃO ;OBRIGATÓRIA;4
20;22000298;ESTATÍSTICA BÁSICA PARA COMPUTAÇÃO ;OBRIGATÓRIA;4
21;22000299;ALGORITMOS E ESTRUTURAS DE DADOS II ;OBRIGATÓRIA;4
22;22000188;CONCEITOS DE LINGUAGENS DE PROGRAMAÇÃO ;OBRIGATÓRIA;4
23;22000237;PROGRAMAÇÃO DE SISTEMAS ;OBRIGATÓRIA;4
24;22000270;SISTEMAS OPERACIONAIS ;OBRIGATÓRIA;4
25;22000300;ALGORITMOS E ESTRUTURAS DE DADOS III ;OBRIGATÓRIA;4
26;22000301;FUNDAMENTOS DE INTELIGÊNCIA ARTIFICIAL ;OBRIGATÓRIA;4
27;22000302;PROJETO DE BANCO DE DADOS ;OBRIGATÓRIA;4
28;22000187;COMPUTAÇÃO GRÁFICA ;OBRIGATÓRIA;4
29;22000189;ENGENHARIA DE SOFTWARE I ;OBRIGATÓRIA;4
30;22000203;SEMÂNTICA FORMAL ;OBRIGATÓRIA;4
31;22000268;CÁLCULO NUMÉRICO COMPUTACIONAL ;OBRIGATÓRIA;4
32;22000273;REDES DE COMPUTADORES ;OBRIGATÓRIA;4
33;22000174;ENGENHARIA DE SOFTWARE II ;OBRIGATÓRIA;4
34;22000272;INTROD PROCESSAMENTO PARALELO E DISTRIBUÍDO  ;OBRIGATÓRIA;4
35;22000303;PROJETO DE COMPILADORES ;OBRIGATÓRIA;4
36;22000304;DESENVOLVIMENTO DE SOFTWARES ;OBRIGATÓRIA;4
37;22000305;TRABALHO DE CONCLUSÃO DE CURSO I ;OBRIGATÓRIA;8
38;22000186;COMPUTAÇÃO E SOCIEDADE ;OBRIGATÓRIA;4
39;22000255;PROCESSAMENTO DIGITAL DE IMAGENS ;OBRIGATÓRIA;4
40;22000306;TRABALHO DE CONCLUSÃO DE CURSO II ;OBRIGATÓRIA;8
41;11100060;CÁLCULO 3 ;OPTATIVA;6
42;20000084;LÍNGUA BRASILEIRA DE SINAIS I ( LIBRAS I ) ;OPTATIVA;4
43;22000176;INFORMÁTICA INDUSTRIAL ;OPTATIVA;4
44;22000193;GERÊNCIA DE PROJETOS ;OPTATIVA;4
45;22000210;PROJETOS EM COMPUTAÇÃO IV ;OPTATIVA;4
46;22000227;TÓPICOS ESPECIAIS EM COMPUTAÇÃO II ;OPTATIVA;4
47;22000228;TÓPICOS ESPECIAIS EM COMPUTAÇÃO III ;OPTATIVA;2
48;22000229;TÓPICOS ESPECIAIS EM COMPUTAÇÃO IV ;OPTATIVA;4
49;22000231;SISTEMAS EMBARCADOS ;OPTATIVA;4
50;22000240;CONCEPÇÃO DE CIRCUITOS INTEGRADOS ;OPTATIVA;4
51;22000241;INTERAÇÃO HUMANO-COMPUTADOR ;OPTATIVA;4
52;22000242;TÓPICOS ESPECIAIS EM COMPUTAÇÃO I ;OPTATIVA;2
53;22000253;SISTEMAS DE INFORMAÇÃO ;OPTATIVA;4
54;22000254;PROJETOS EM COMPUTAÇÃO II ;OPTATIVA;4
55;22000264;PROJETOS EM COMPUTAÇÃO III ;OPTATIVA;4
56;22000269;SISTEMAS DIGITAIS AVANÇADOS ;OPTATIVA;4
57;22000278;FERRAMENTAS DE CAD ;OPTATIVA;4
58;22000279;MICROCONTROLADORES ;OPTATIVA;4
59;22000282;ROBÓTICA ;OPTATIVA;4
60;22000283;SISTEMAS DE TEMPO REAL ;OPTATIVA;4
61;22000307;BANCO DE DADOS AVANÇADO ;OPTATIVA;4
62;22000308;ARQUITETURA E ORGANIZAÇÃO COMPUT. AVANÇADOS ;OPTATIVA;4
63;22000309;COMUNICAÇÃO DE DADOS ;OPTATIVA;4
64;22000310;AVALIAÇÃO DE DESEMPENHO DE SISTEMAS ;OPTATIVA;4
65;22000311;SEGURANÇA DE COMPUTADORES ;OPTATIVA;4
66;22000312;INTELIGÊNCIA ARTIFICIAL AVANÇADA ;OPTATIVA;4
67;22000313;COMPILADORES AVANÇADO ;OPTATIVA;4
68;22000314;FERRAMENTAS DE INTELIGÊNCIA ARTIFICIAL ;OPTATIVA;4
69;22000315;COMPUTAÇÃO FLEXÍVEL ;OPTATIVA;4
70;22000316;WEB SEMÂNTICA E ONTOLOGIAS ;OPTATIVA;4
71;22000317;ESPECIFICAÇÃO E VERIFICAÇÃO DE SISTEMAS ;OPTATIVA;4
72;22000318;SISTEMAS DISTRIBUÍDOS E UBÍQUOS ;OPTATIVA;4
73;22000319;PROJETOS EM COMPUTAÇÃO I ;OPTATIVA;4
74;22000346;TÓPICOS ESPECIAIS EM COMPUTAÇÃO V ;OPTATIVA;2
75;22000347;TÓPICOS ESPECIAIS EM COMPUTAÇÃO VI ;OPTATIVA;2
76;22000348;TÓPICOS ESPECIAIS EM COMPUTAÇÃO VII ;OPTATIVA;4
77;22000349;TÓPICOS ESPECIAIS EM COMPUTAÇÃO VIII ;OPTATIVA;4
78;22000350;TÓPICOS ESPECIAIS EM COMPUTAÇÃO IX ;OPTATIVA;4
79;22000351;TÓPICOS ESPECIAIS EM COMPUTAÇÃO X ;OPTATIVA;4
